City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Coahuayana,MX,2021-05-27 21:17:07,18.7333,-103.6833,99.88,43,100,7.61
68,Cadillac,US,2021-05-27 21:17:07,44.2519,-85.4012,46.74,76,90,6.91
69,Thompson,CA,2021-05-27 21:09:28,55.7435,-97.8558,58.75,19,100,9.51
70,Opuwo,NA,2021-05-27 21:17:07,-18.0607,13.84,63.36,37,0,7.54
71,Svelgen,NO,2021-05-27 21:17:07,61.7685,5.2955,60.1,73,8,4.61
72,Pingliang,CN,2021-05-27 21:17:08,35.5392,106.6861,57.78,36,96,3.98
73,Sistranda,NO,2021-05-27 21:16:08,63.7256,8.834,49.96,83,15,17.87
74,Sechura,PE,2021-05-27 21:07:14,-5.5569,-80.8222,77.07,65,44,15.61
75,Qalyub,EG,2021-05-27 21:17:08,30.1792,31.2056,81.75,34,0,6.91
76,Hithadhoo,MV,2021-05-27 21:09:27,-0.6,73.0833,81.97,79,100,17.72
77,Tilichiki,RU,2021-05-27 21:17:09,60.4667,166.1,33.96,95,99,5.37
78,Asyut,EG,2021-05-27 21:17:09,27.181,31.1837,86.36,18,0,9.28
79,Vila Franca Do Campo,PT,2021-05-27 21:12:17,37.7167,-25.4333,61.21,76,49,6.51
80,Butaritari,KI,2021-05-27 21:06:14,3.0707,172.7902,83.43,79,92,21.12
81,Mataura,NZ,2021-05-27 21:09:19,-46.1927,168.8643,43.43,99,100,1.66
82,Cabo San Lucas,MX,2021-05-27 21:12:50,22.8909,-109.9124,99.81,29,20,8.05
83,Broome,US,2021-05-27 21:17:09,42.2506,-75.833,68.18,56,20,4.0
84,Arroyo,ES,2021-05-27 21:17:10,41.6096,-4.7969,71.6,55,0,4.38
85,Esperance,AU,2021-05-27 21:10:36,-33.8667,121.9,57.24,49,8,16.51
86,Hualmay,PE,2021-05-27 21:17:10,-11.0964,-77.6139,69.01,83,23,8.19
87,Codrington,AU,2021-05-27 21:10:45,-38.2667,141.9667,51.69,72,100,11.79
88,Listvyanka,RU,2021-05-27 21:17:10,51.8535,104.8693,47.7,74,95,9.93
89,Hilo,US,2021-05-27 21:05:44,19.7297,-155.09,82.8,68,20,9.22
90,Hervey Bay,AU,2021-05-27 21:17:11,-25.2986,152.8535,57.04,66,0,3.0
91,Ust-Maya,RU,2021-05-27 21:17:11,60.4167,134.5333,47.98,78,94,5.19
92,Vaini,TO,2021-05-27 21:09:23,-21.2,-175.2,77.16,69,20,10.36
93,Mahebourg,MU,2021-05-27 21:07:05,-20.4081,57.7,72.25,87,45,7.52
94,Piacabucu,BR,2021-05-27 21:17:11,-10.4056,-36.4344,76.6,73,41,8.52
95,Batagay,RU,2021-05-27 21:10:58,67.6333,134.6333,56.68,46,68,2.86
96,Catamarca,AR,2021-05-27 21:17:12,-28.4696,-65.7852,75.65,59,68,1.99
97,Saint-Max,FR,2021-05-27 21:17:12,48.7043,6.21,54.95,77,0,3.44
98,Saldanha,ZA,2021-05-27 21:10:43,-33.0117,17.9442,57.43,90,64,10.87
99,Upernavik,GL,2021-05-27 21:05:54,72.7868,-56.1549,34.77,97,75,5.28
100,Port Elizabeth,ZA,2021-05-27 21:09:25,-33.918,25.5701,59.09,73,98,10.27
101,Riacho De Santana,BR,2021-05-27 21:17:13,-13.6092,-42.9389,80.22,40,9,8.63
102,Qaqortoq,GL,2021-05-27 21:11:23,60.7167,-46.0333,55.9,52,28,1.57
103,Puerto Ayora,EC,2021-05-27 21:09:25,-0.7393,-90.3518,82.36,90,51,8.01
104,Vardo,NO,2021-05-27 21:17:13,70.3705,31.1107,39.4,87,75,16.11
105,Havoysund,NO,2021-05-27 21:10:21,70.9963,24.6622,38.28,71,99,22.32
106,Yerbogachen,RU,2021-05-27 21:17:13,61.2767,108.0108,48.24,72,99,1.83
107,Busselton,AU,2021-05-27 21:09:37,-33.65,115.3333,53.1,79,0,9.15
108,Pevek,RU,2021-05-27 21:06:16,69.7008,170.3133,37.35,69,55,1.63
109,Kodinsk,RU,2021-05-27 21:17:14,58.6881,99.1844,36.32,80,41,6.71
110,Kaiyuan,CN,2021-05-27 21:17:14,23.6977,103.3037,66.83,96,84,4.45
111,Pierre,US,2021-05-27 21:17:14,44.3683,-100.351,47.98,87,90,12.66
112,Choya,RU,2021-05-27 21:17:15,52.0108,86.5467,56.86,98,100,10.94
113,Alta Gracia,AR,2021-05-27 21:17:15,-31.6529,-64.4283,71.89,48,24,10.13
114,Grindavik,IS,2021-05-27 21:08:00,63.8424,-22.4338,49.55,57,20,25.34
115,Cockburn Town,TC,2021-05-27 21:10:58,21.4612,-71.1419,79.21,77,8,13.6
116,Bluff,NZ,2021-05-27 21:09:12,-46.6,168.3333,46.54,86,100,7.49
117,Douglas,US,2021-05-27 21:17:15,41.3,-96.167,66.74,78,90,4.0
118,Nikolskoye,RU,2021-05-27 21:09:18,59.7035,30.7861,52.39,99,100,4.72
119,Tiznit,MA,2021-05-27 21:10:29,29.5833,-9.5,63.14,77,60,3.02
120,Nelson Bay,AU,2021-05-27 21:07:17,-32.7167,152.15,49.68,80,13,1.01
121,Leh,IN,2021-05-27 21:17:16,34.1667,77.5833,47.5,33,0,3.51
122,San Patricio,US,2021-05-27 21:09:11,28.017,-97.5169,90.16,64,35,18.28
123,Geraldton,AU,2021-05-27 21:12:21,-28.7667,114.6,66.61,48,90,7.4
124,Saskylakh,RU,2021-05-27 21:06:17,71.9167,114.0833,29.25,82,100,4.43
125,Fare,PF,2021-05-27 21:07:42,-16.7,-151.0167,80.28,69,33,11.05
126,Kletskaya,RU,2021-05-27 21:17:16,49.3145,43.0584,63.46,59,85,7.49
127,Loreto,MX,2021-05-27 21:17:17,22.2667,-101.9667,85.69,17,19,5.37
128,Bengkulu,ID,2021-05-27 21:09:17,-3.8004,102.2655,77.0,89,100,4.21
129,Canete,CL,2021-05-27 21:17:17,-37.8,-73.4,53.71,87,14,6.22
130,Kununurra,AU,2021-05-27 21:06:06,-15.7667,128.7333,73.38,33,7,11.5
131,Deputatskiy,RU,2021-05-27 21:07:44,69.3,139.9,50.79,54,51,4.56
132,Ardesen,TR,2021-05-27 21:17:17,41.1911,40.9875,55.36,76,2,2.68
133,Iraquara,BR,2021-05-27 21:17:18,-12.2486,-41.6194,73.11,56,2,4.34
134,Victoria,HK,2021-05-27 21:05:03,22.2855,114.1577,85.32,85,99,5.01
135,Berdigestyakh,RU,2021-05-27 21:17:18,62.0989,126.6992,48.81,79,49,5.46
136,Farah,AF,2021-05-27 21:17:18,32.5,62.5,80.85,18,0,5.66
137,Ostrovnoy,RU,2021-05-27 21:07:37,68.0531,39.5131,41.76,53,100,20.92
138,Tenenkou,ML,2021-05-27 21:17:19,14.4572,-4.9169,100.11,18,94,6.98
139,Qaanaaq,GL,2021-05-27 21:09:15,77.484,-69.3632,37.35,80,100,5.79
140,Padang,ID,2021-05-27 21:14:15,-0.9492,100.3543,77.36,85,100,3.65
141,Moron,AR,2021-05-27 21:17:19,-34.6534,-58.6198,69.69,64,16,6.35
142,Kitimat,CA,2021-05-27 21:15:06,54.0524,-128.6534,49.91,93,100,4.03
143,Hasaki,JP,2021-05-27 21:14:08,35.7333,140.8333,61.29,82,100,0.72
144,Jilib,SO,2021-05-27 21:17:20,0.4883,42.7854,75.56,84,92,7.87
145,Cabedelo,BR,2021-05-27 21:17:20,-6.9811,-34.8339,77.67,84,34,12.55
146,Itaquyry,PY,2021-05-27 21:17:20,-24.9333,-55.2167,75.42,66,99,2.44
147,Muros,ES,2021-05-27 21:17:20,42.7762,-9.0603,64.9,80,96,7.31
148,Korla,CN,2021-05-27 21:09:18,41.7597,86.1469,74.28,16,43,1.79
149,Chokurdakh,RU,2021-05-27 21:09:54,70.6333,147.9167,37.44,62,2,10.65
150,Basco,PH,2021-05-27 21:17:21,20.4487,121.9702,84.04,73,14,8.95
151,Turbat,PK,2021-05-27 21:17:21,26.0023,63.044,91.45,16,3,3.87
152,Hermanus,ZA,2021-05-27 21:09:13,-34.4187,19.2345,63.81,70,84,13.15
153,Narsaq,GL,2021-05-27 21:07:21,60.9167,-46.05,55.62,49,32,5.21
154,Faanui,PF,2021-05-27 21:06:06,-16.4833,-151.75,80.53,71,37,13.13
155,Warrnambool,AU,2021-05-27 21:17:22,-38.3833,142.4833,50.81,67,100,11.54
156,Kysyl-Syr,RU,2021-05-27 21:17:22,63.8986,122.7617,52.79,69,13,3.2
157,Lebu,CL,2021-05-27 21:09:47,-37.6167,-73.65,55.27,83,0,9.31
158,Chicama,PE,2021-05-27 21:17:22,-7.8447,-79.1469,64.94,73,56,8.39
159,Quatre Cocos,MU,2021-05-27 21:09:20,-20.2078,57.7625,72.09,88,32,7.67
160,Los Llanos De Aridane,ES,2021-05-27 21:17:23,28.6585,-17.9182,64.15,88,40,14.97
161,Imbituba,BR,2021-05-27 21:09:22,-28.24,-48.6703,64.29,66,0,1.52
162,Nador,MA,2021-05-27 21:13:15,35.174,-2.9287,61.05,94,90,11.12
163,Dayong,CN,2021-05-27 21:17:23,25.0209,118.2898,80.28,93,100,1.63
164,Faya,SA,2021-05-27 21:10:05,18.3851,42.4509,70.32,25,3,7.38
165,Manisa,TR,2021-05-27 21:17:23,38.8333,28.1667,65.68,68,1,2.13
166,Puerto Leguizamo,CO,2021-05-27 21:12:58,-0.1934,-74.7819,81.34,75,73,1.63
167,Teguise,ES,2021-05-27 21:07:58,29.0605,-13.564,64.62,68,75,15.08
168,Baie-Comeau,CA,2021-05-27 21:14:34,49.2168,-68.1489,48.94,37,91,16.96
169,Mayor Pablo Lagerenza,PY,2021-05-27 21:09:15,-19.9309,-60.7718,90.18,36,93,9.98
170,Calinesti,RO,2021-05-27 21:17:24,44.8167,25.05,59.5,91,99,6.24
171,Ust-Koksa,RU,2021-05-27 21:17:24,50.2696,85.6108,56.26,79,99,1.79
172,Puerto Ayacucho,VE,2021-05-27 21:17:25,5.6639,-67.6236,79.7,81,93,7.76
173,Kahului,US,2021-05-27 21:10:22,20.8947,-156.47,87.82,62,40,16.11
174,Arraial Do Cabo,BR,2021-05-27 21:05:50,-22.9661,-42.0278,73.26,78,0,4.61
175,Bethel,US,2021-05-27 21:17:25,41.3712,-73.414,80.91,46,1,6.91
176,San Cristobal,VE,2021-05-27 21:10:59,7.7669,-72.225,77.18,88,91,5.3
177,Mazagao,BR,2021-05-27 21:17:25,-0.115,-51.2894,80.65,94,66,5.57
178,Juneau,US,2021-05-27 21:15:16,58.3019,-134.4197,53.6,68,90,2.51
179,Srednekolymsk,RU,2021-05-27 21:07:48,67.45,153.6833,55.92,26,77,16.28
180,Jalgaon,IN,2021-05-27 21:17:26,21.0167,75.5667,84.87,60,99,14.27
181,Shuya,RU,2021-05-27 21:17:26,56.8487,41.3883,55.36,94,72,3.4
182,Carnarvon,AU,2021-05-27 21:10:33,-24.8667,113.6333,64.47,82,75,5.75
183,Southampton,GB,2021-05-27 21:17:26,50.904,-1.4043,56.61,74,93,2.37
184,Ilulissat,GL,2021-05-27 21:09:55,69.2167,-51.1,57.22,28,64,14.97
185,The Valley,AI,2021-05-27 21:17:27,18.217,-63.0578,85.86,74,20,9.22
186,Jimenez,MX,2021-05-27 21:17:27,28.3333,-105.4,93.94,12,100,8.55
187,Tura,IN,2021-05-27 21:12:31,25.5198,90.2201,73.67,91,100,3.78
188,Ericeira,PT,2021-05-27 21:17:27,38.9627,-9.4156,67.68,87,100,13.69
189,San-Pedro,CI,2021-05-27 21:11:08,4.7485,-6.6363,79.09,86,50,6.38
190,Rantepao,ID,2021-05-27 21:17:28,-2.9701,119.8978,65.62,97,30,2.44
191,Hukuntsi,BW,2021-05-27 21:17:28,-24.0,21.75,58.6,28,1,7.58
192,Olinda,BR,2021-05-27 21:07:52,-8.0089,-34.8553,73.13,88,75,12.64
193,Waingapu,ID,2021-05-27 21:07:06,-9.6567,120.2641,77.72,82,21,17.25
194,Henties Bay,NA,2021-05-27 21:10:36,-22.116,14.2845,59.86,76,0,10.56
195,Kibakwe,TZ,2021-05-27 21:17:29,-6.7167,36.3667,58.68,89,35,3.58
196,Arlit,NE,2021-05-27 21:17:29,18.7369,7.3853,91.26,8,81,7.38
197,Port Blair,IN,2021-05-27 21:17:29,11.6667,92.75,81.63,81,99,9.37
198,Grand Baie,MU,2021-05-27 21:17:29,-20.0182,57.5802,72.45,80,8,5.01
